,title,time,src,content,forward,like,comment
31,外交部发言人办公室,2020/10/20 18:07,搜狗高速浏览器,【赵立坚：会有越来越多像巴基斯坦这样的国家发出正义之声】“外交部发言人办公室”消息，在10月20日外交部例行记者会上，有记者问：近日，巴基斯坦总理国家安全特别助理尤素福接受媒体采访时表示，巴代表团曾赴新疆实地参观，了解了新疆的情况，亲眼见证新疆各族人民享受平等合法权利，过着幸福生活。 ...展开全文c,30,373,26
32,外交部发言人办公室,2020/10/20 18:05,搜狗高速浏览器,【赵立坚：美国有些人对中国纯粹是酸葡萄心理】“外交部发言人办公室”消息，在10月20日外交部例行记者会上，有记者问：美国进出口银行董事长兼总裁里德17日发表文章称，十多年来，中国共产党一直采用窃取知识产权、强制技术转让、大规模倾销和操纵汇率等手段无情地攻击美经济。近来中方利用出口融资来 ...展开全文c,32,819,37
33,外交部发言人办公室,2020/10/20 17:48,微博 weibo.com,赵立坚：美方应立即停止利用涉藏问题干涉中国内政#跟我看外交##与发言人相约蓝厅# °赵立坚：美方应立即停止利用涉藏问题干涉中国...,12,264,18
34,外交部发言人办公室,2020/10/20 10:29,微博 weibo.com,【双语】例行记者会/Regular Press Conference（2020-10-19）#跟我看外交##与发言人相约蓝厅#  °【双语】例行记者会/Regular Press Conferenc...,36,165,37
35,外交部发言人办公室,2020/10/19 20:39,微博视频,【报道称中国驻斐济外交官殴打所谓台湾“外交官”  赵立坚：台在斐济哪里有所谓“外交官”？】#跟我看外交# #与发言人相约蓝厅# @人民视频  L外交部发言人办公室的微博视频,64,725,100
36,外交部发言人办公室,2020/10/19 20:29,微博视频,【赵立坚：臭名昭著的“麦卡锡主义”正死灰复燃。】#跟我看外交# #与发言人相约蓝厅# @人民视频  L外交部发言人办公室的微博视频,35,398,13
37,外交部发言人办公室,2020/10/19 20:21,微博视频,"【赵立坚感谢抖友、发小厚爱】“外交部发言人办公室”消息，在10月19日外交部例行记者会最后，赵立坚表示：我愿同大家分享一个好消息。“外交部发言人办公室”抖音账号近来喜提千万粉丝，受到越来越多网友的喜爱。
在此，我感谢大家，特别是抖友、发小的厚爱，希望大家继续关注和支持外交部中文及 ...展开全文c",34,601,49
38,外交部发言人办公室,2020/10/19 20:12,微博视频,"【赵立坚：来而不往非礼也，还原美损害环境斑斑劣迹】“外交部发言人办公室”消息，在10月19日外交部例行记者会上，有记者问：我们注意到，今天上午外交部网站上发布了《美国损害环境事实清单》和《美国损害全球环境治理报告》两份文件。能否进一步介绍有关情况？
赵立坚：来而不往非礼也。美国个 ...展开全文c",39,449,38
39,外交部发言人办公室,2020/10/19 20:08,微博视频,"【赵立坚：中国驻加拿大大使言论完全正当、无可非议！】“外交部发言人办公室”消息，在10月19日外交部例行记者会上，有记者问：加拿大反对党领袖要求中国驻加大使就他关于加拿大在港公民安全的表态道歉，你对此有何回应？
赵立坚：中国驻加拿大大使日前接受媒体采访，应询就中加关系以及涉港、涉 ...展开全文c",28,310,26
40,外交部发言人办公室,2020/10/19 20:03,微博视频,【赵立坚：对美国“肮脏网络”说不】“外交部发言人办公室”消息，在10月19日外交部例行记者会上，有记者问：一段时间以来，美国大肆鼓吹“清洁网络”计划，企图借此打压中国高科技企业。同时我们注意到，欧洲竞争电信协会（ECTA）日前发布消息，谴责出于地缘政治原因对中国5G供应商的任何禁令，强调只 ...展开全文c,29,303,25
41,外交部发言人办公室,2020/10/19 19:55,微博 weibo.com,赵立坚：中国脱贫攻坚对世界具有积极意义#跟我看外交# #与发言人相约蓝厅# @人民视频   °赵立坚：中国脱贫攻坚对世界具有积极意义,31,241,15
42,外交部发言人办公室,2020/10/17 9:23,微博 weibo.com,【双语】例行记者会/Regular Press Conference（2020-10-16）#跟我看外交##与发言人相约蓝厅# °【双语】例行记者会/Regular Press Conferenc...,27,202,42
43,外交部发言人办公室,2020/10/10 11:07,微博 weibo.com,【双语】例行记者会/Regular Press Conference（2020-10-9）#跟我看外交##与发言人相约蓝厅# °【双语】例行记者会/Regular Press Conferenc...,34,187,54
44,外交部发言人办公室,2020/10/9 21:17,搜狗高速浏览器,"【美方指责中国“破坏环境”　华春莹：美方哪来的自信和资格指责中方？！】“外交部发言人办公室”消息，在10月9日外交部例行记者会上，有记者问：近期，美方多次公开指责中方“破坏环境的行为”，外交部对此有何回应？
华春莹：近期，美方除了在疫情、涉疆、涉港等问题上指责中国之外，还在环境问题上 ...展开全文c",174,845,129
45,外交部发言人办公室,2020/10/9 21:15,搜狗高速浏览器,"【华春莹：新疆各族人民轻松欢乐的笑脸是对新疆人权状况的最好说明】“外交部发言人办公室”消息，在10月9日外交部例行记者会上，有记者问：上周，巴基斯坦代表55国在联合国大会第三委员会上就涉港问题做共同发言时表示，香港事务纯属中国内政。中方有何评论？
华春莹：10月5日至8日，第75届联合国 ...展开全文c",114,736,74
46,外交部发言人办公室,2020/10/9 20:28,微博 weibo.com,"华春莹：21万鲜活生命的失去还不足以唤醒美方政客的良知吗？　#跟我看外交# #与发言人相约蓝厅#
°华春莹：21万鲜活生命的失去还不足以唤醒美方...",188,1122,176
47,外交部发言人办公室,2020/10/9 20:24,微博 weibo.com,华春莹：中美之间的分歧是正义与恶意、单边与多边的问题　#跟我看外交# #与发言人相约蓝厅# °华春莹：中美之间的分歧是正义与恶意、单边与...,36,340,30
48,外交部发言人办公室,2020/10/9 20:20,微博 weibo.com,王毅国务委员密集外交活动涉及7个东盟国家　华春莹：充分体现中方对深化同东盟国家友好关系的真诚意愿和坚定决心　#跟我看外交# #与发言人相约蓝厅# °王毅国务委员密集外交活动涉7个东盟国家,21,285,22
49,外交部发言人办公室,2020/10/1 10:51,微博 weibo.com,【双语】例行记者会/Regular Press Conference（2020-9-30）#跟我看外交# #与发言人相约蓝厅#  °【双语】例行记者会/Regular Press Conferenc...,31,372,152
50,外交部发言人办公室,2020/9/30 21:20,360安全浏览器,"【汪文斌：祝我们伟大的祖国繁荣富强！】
明天我们将迎来中华人民共和国成立71周年和中秋佳节。根据2020年国庆节、中秋节放假安排，外交部例行记者会将于10月1日至8日休会，10月9日（周五）恢复。休会期间，外交部发言人办公室将照常通过传真、邮件、微信接受记者提问。
借此机会，感谢各位记 ...展开全文c",163,1812,157
51,外交部发言人办公室,2020/9/30 19:19,360安全浏览器,【世行上调今年中国经济增速预期　汪文斌：中国经济加快复苏将为全球复苏注入更多动力】“外交部发言人办公室”消息，在9月30日外交部例行记者会上，有记者问：世界银行28日发布东亚和太平洋地区经济报告，将今年中国经济增速预期上调至2%，比6月预期上调一个百分点。世行并结合疫苗问世、经济持续复苏 ...展开全文c,30,350,22
52,外交部发言人办公室,2020/9/30 19:17,360安全浏览器,"【汪文斌：中方一定会把疫苗作为全球公共产品以公平合理的价格向世界提供】“外交部发言人办公室”消息，在9月30日外交部例行记者会上，有记者问：近日有媒体报道，中国疫苗定价明显高于欧美疫苗。请问发言人对此有何评论？
汪文斌：这种说法没有依据。为应对全球新冠肺炎疫情，中国正在加紧推进疫 ...展开全文c",32,385,43
53,外交部发言人办公室,2020/9/30 19:14,360安全浏览器,【美共和、民主两党总统候选人首场电视辩论多次提及中国 汪文斌：反对美方人员在竞选中拿中国说事】“外交部发言人办公室”消息，在9月30日外交部例行记者会上，有记者问：美国共和、民主两党总统候选人特朗普总统和前副总统拜登举行了首场电视辩论，两位候选人谈及经济政策、疫情应对等问题时都提及了 ...展开全文c,21,258,24
54,外交部发言人办公室,2020/9/30 18:37,微博 weibo.com,中方同阿拉伯国家联盟举行中阿卫生专家视频会议#跟我看外交# #与发言人相约蓝厅#  °中方同阿拉伯国家联盟举行中阿卫生专家视频会议,4,140,4
55,外交部发言人办公室,2020/9/30 10:37,微博 weibo.com,【双语】例行记者会/Regular Press Conference（2020-9-29）#跟我看外交#与发言人相约蓝厅#  °【双语】例行记者会/Regular Press Conferenc...,26,124,25
56,外交部发言人办公室,2020/9/29 19:37,微博 weibo.com,中国第19批维和工兵分队赴黎巴嫩执行灾后重建援助任务#跟我看外交# #与发言人相约蓝厅#  °中国第19批维和工兵分队赴黎巴嫩执行灾后重建...,12,235,26
57,外交部发言人办公室,2020/9/22 23:26,搜狗高速浏览器,"【汪文斌：中国所罗门群岛关系开局良好，再次彰显一个中国原则是人心所向、大势所趋】“外交部发言人办公室”消息，在9月22日外交部例行记者会上，有记者问：9月21日，中国驻所罗门群岛使馆举行了开馆仪式。中方如何评价中所建交一年来两国关系取得的进展？对未来有何期待？
汪文斌：9月21日，在中 ...展开全文c",19,229,12
58,外交部发言人办公室,2020/9/22 23:22,搜狗高速浏览器,【北京冬奥会倒计时500天　汪文斌：一定会成为一届非凡、精彩、卓越的盛会】“外交部发言人办公室”消息，在9月22日外交部例行记者会上，有记者问：2022年北京冬奥会进入倒计时500天，国际奥委会主席巴赫表示，他期待着见证北京举办一次历史性盛会，成为全球首座“双奥”之城。中方对此有何回应？能否 ...展开全文c,17,261,20
59,外交部发言人办公室,2020/9/22 11:30,微博 weibo.com,【双语】例行记者会/Regular Press Conference（2020-9-21）#跟我看外交# #与发言人相约蓝厅# °【双语】例行记者会/Regular Press Conferenc...,24,133,29
60,外交部发言人办公室,2020/9/21 21:17,微博视频,【汪文斌：加方在孟晚舟事件上所作所为导致了两国关系现在的困难局面】“外交部发言人办公室”消息，在9月21日外交部例行记者会上，有记者问：据报道，加拿大外交部前领事司司长帕迪日前组织逾百名加前外交官联名致信特鲁多总理，呼吁加政府释放孟晚舟以换取加公民康明凯、迈克尔返加。帕表示，加中之 ...展开全文c,38,448,41
61,外交部发言人办公室,2020/9/21 21:11,微博视频,"【汪文斌：美方炒作所谓新疆“强迫劳动”问题是典型的假新闻】“外交部发言人办公室”消息，在9月21日外交部例行记者会上，有记者问：近一个时期，美国多名政府高官多次就新疆“强迫劳动”问题指责中方，美国还出台了制裁新疆企业的措施。请问中方对此有何评论？
汪文斌：新疆事务纯属中国内政，美 ...展开全文c",26,344,48
62,外交部发言人办公室,2020/9/21 21:05,微博视频,"【汪文斌：美方根本没有要求安理会启动对伊朗“快速恢复制裁”机制的权力】“外交部发言人办公室”消息，在9月21日外交部例行记者会上，有记者问：美方9月19日单方面宣布，鉴于美8月20日致函要求安理会启动对伊朗“快速恢复制裁”机制，安理会全部对伊制裁已经恢复。中方对此有何评论？
汪文斌：最 ...展开全文c",23,249,22
63,外交部发言人办公室,2020/9/21 21:00,微博视频,"【汪文斌：中方愿与各国一道，携手共建一个充满生机、清洁美丽的世界！】“外交部发言人办公室”消息，在9月21日外交部例行记者会上，有记者问：我们注意到外交部网站刊登了标题为《共建地球生命共同体：中国在行动》的联合国生物多样性峰会中方立场文件，能否介绍相关情况？
汪文斌：联合国将于9 ...展开全文c",24,223,8
64,外交部发言人办公室,2020/9/21 20:51,微博视频,【汪文斌：任何损害中方核心利益、干涉中国内政的行径都会遭到中方有力回击】“外交部发言人办公室”消息，在9月21日外交部例行记者会上，有记者问：据报道，美国副国务卿克拉奇9月17日至19日访台，其间会见台地区领导人蔡英文等人，并参加李登辉追思活动。此系今年8月美卫生及公众服务部长阿扎访台后 ...展开全文c,32,292,20
65,外交部发言人办公室,2020/9/19 12:03,微博 weibo.com,【双语】例行记者会/Regular Press Conference（2020-9-18） #跟我看外交# #与发言人相约蓝厅# °【双语】例行记者会/Regular Press Conferenc...,36,895,75
66,外交部发言人办公室,2020/9/11 20:13,微博 weibo.com,上合组织应坚决防止世界重回“丛林时代” #跟我看外交##与发言人相约蓝厅# °上合组织应坚决防止世界重回“丛林时代”,13,256,16
67,外交部发言人办公室,2020/9/11 10:28,微博 weibo.com,【双语】例行记者会/Regular Press Conference（2020-9-10）#跟我看外交##与发言人相约蓝厅#   °【双语】例行记者会/Regular Press Conferenc...,26,158,33
68,外交部发言人办公室,2020/9/10 21:20,微博 weibo.com,美政客抹黑中国渔船公海作业　赵立坚：扰乱视听 挑拨离间 用心险恶　#跟我看外交##与发言人相约蓝厅#  °美政客抹黑中国渔船公海作业　赵立坚：扰乱视...,16,305,30
69,外交部发言人办公室,2020/9/10 21:19,360安全浏览器,【赵立坚：澳方应尊重事实　摒弃虚伪和“双标”】“外交部发言人办公室”消息，在9月10日外交部例行记者会上，有记者问：据《悉尼晨锋报》报道，澳政府高级别消息人士称，澳情报机构对中国记者的“问询”完全符合正常程序，与澳驻华记者“被迫离境”无法相提并论。澳方还称中方采取“人质外交”的极端 ...展开全文c,35,360,32
70,外交部发言人办公室,2020/9/10 21:14,360安全浏览器,"【美方称《人民日报》拒发美驻华大使文章　赵立坚：发表文章是假，设局栽赃是真】“外交部发言人办公室”消息，在9月10日外交部例行记者会上，有记者问：美国国务卿蓬佩奥今天发推特称，中国共产党抱怨美对华缺乏公平和对等,但中国大使可在任何美国媒体自由发表文章，而中国共产党却拒绝在《人民日报》 ...展开全文c",56,499,95
71,外交部发言人办公室,2020/9/10 21:07,微博 weibo.com,中德欧领导人视频会晤将举行　赵立坚：中欧关系大有可为　#跟我看外交##与发言人相约蓝厅# °中德欧领导人视频会晤将举行　赵立坚：中欧关...,13,232,15
72,外交部发言人办公室,2020/9/10 10:51,微博 weibo.com,【双语】例行记者会/Regular Press Conference（2020-9-9）#跟我看外交##与发言人相约蓝厅#  °【双语】例行记者会/Regular Press Conferenc...,20,157,25
73,外交部发言人办公室,2020/9/9 20:10,360安全浏览器,【王毅将赴俄罗斯出席上海合作组织成员国外长理事会会议并对俄罗斯、哈萨克斯坦、吉尔吉斯斯坦、蒙古国进行访问】“外交部发言人办公室”消息，在9月9日外交部例行记者会上，赵立坚首先宣布：应俄罗斯外长拉夫罗夫、哈萨克斯坦外长特列乌别尔季、吉尔吉斯斯坦外长艾达尔别科夫、蒙古国外长恩赫泰旺邀请 ...展开全文c,24,343,39
74,外交部发言人办公室,2020/9/9 19:51,360安全浏览器,"【澳安全情报人员对中国驻澳媒体记者突击搜查　赵立坚：立即停止野蛮无理行径！】“外交部发言人办公室”消息，在9月9日外交部例行记者会上，有记者问：据报道，今年6月，澳大利亚安全情报人员对3家中国驻澳媒体的4名记者进行了突击搜查，并扣押工作电脑、手机等物品。中方能否证实？对此有何评论？
...展开全文c",25,331,62
75,外交部发言人办公室,2020/9/9 19:48,360安全浏览器,【赵立坚：美方所谓“新闻自由”不过是任意抹黑、打压中国媒体记者的借口】“外交部发言人办公室”消息，在9月9日外交部例行记者会上，有记者问：美国务院发言人奥特加斯8日发推特称，美国务院多年来一直致力于说服中国允许美国记者返华，给予美媒体恢复正常运营的自由，并停止对外国记者进行恐吓和骚 ...展开全文c,32,406,45
76,外交部发言人办公室,2020/9/9 10:53,微博 weibo.com,【双语】例行记者会/Regular Press Conference（2020-9-8）#跟我看外交##与发言人相约蓝厅#   °【双语】例行记者会/Regular Press Conferenc...,21,154,29
